1/1 feasible solution given by solution candidate storage, new primal bound 2.040379e+05

presolving:
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) symmetry computation finished: 5 generators found (max: 1500, log10 of symmetry group size: 1.68) (symcode time: 0.00)
dynamic symmetry handling statistics:
   orbitopal reduction:       no components
   orbital reduction:          1 components of sizes 5
   lexicographic reduction:    5 permutations with support sizes 120, 120, 120, 12040, 12040
handled 1 out of 1 symmetry components
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 18060 variables (18060 bin, 0 int, 0 impl, 0 cont) and 610 constraints
    610 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  242s|  3200 |  3073 |153816 |  47.7 |   483M |  99 |  18k| 767 | 535 |1453 |  1 | 404 |3878 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  246s|  3300 |  3173 |157325 |  47.3 |   488M |  99 |  18k| 771 | 531 |1477 |  1 | 409 |3884 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  250s|  3400 |  3273 |162676 |  47.5 |   490M |  99 |  18k| 772 | 532 |1498 |  1 | 411 |3898 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  254s|  3500 |  3373 |164940 |  46.8 |   492M |  99 |  18k| 773 | 531 |1512 |  1 | 412 |3916 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  260s|  3600 |  3473 |169270 |  46.7 |   496M |  99 |  18k| 771 | 532 |1553 |  1 | 412 |3918 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  264s|  3700 |  3573 |172753 |  46.3 |   498M |  99 |  18k| 772 | 538 |1584 |  1 | 413 |3923 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  268s|  3800 |  3673 |175212 |  45.8 |   499M |  99 |  18k| 775 | 529 |1609 |  1 | 416 |3928 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  271s|  3900 |  3773 |177113 |  45.1 |   504M |  99 |  18k| 777 | 539 |1627 |  1 | 418 |3935 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  274s|  4000 |  3873 |179393 |  44.5 |   505M |  99 |  18k| 777 | 533 |1636 |  2 | 418 |3952 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  277s|  4100 |  3973 |181348 |  43.9 |   507M |  99 |  18k| 776 | 536 |1650 |  1 | 418 |3956 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  280s|  4200 |  4073 |183858 |  43.5 |   509M |  99 |  18k| 781 | 531 |1661 |  2 | 425 |3959 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
  284s|  4300 |  4173 |189053 |  43.7 |   512M |  99 |  18k| 784 | 532 |1668 |  1 | 430 |3959 | 2.044280e+05 | 2.040379e+05 |   0.19%|  11.59%
