1/1 feasible solution given by solution candidate storage, new primal bound 1.366128e+05

presolving:
   (0.0s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.0s) symmetry computation finished: 2 generators found (max: 1500, log10 of symmetry group size: 0.60) (symcode time: 0.00)
dynamic symmetry handling statistics:
   orbitopal reduction:       no components
   orbital reduction:          1 components of sizes 2
   lexicographic reduction:    2 permutations with support sizes 80, 8040
handled 1 out of 1 symmetry components
presolving (0 rounds: 0 fast, 0 medium, 0 exhaustive):
 0 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 8040 variables (8040 bin, 0 int, 0 impl, 0 cont) and 407 constraints
    407 constraints of type <linear>
Presolving Time: 0.00
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 44.0s|  2100 |  1979 | 30690 |  14.4 |   164M |  57 |8040 | 357 | 216 | 745 |  1 | 418 |4360 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.65%
 46.0s|  2200 |  2069 | 31684 |  14.2 |   164M |  57 |8040 | 359 | 221 | 782 |  1 | 428 |4594 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.65%
 47.0s|  2300 |  2163 | 32399 |  13.9 |   164M |  57 |8040 | 366 | 212 | 816 |  1 | 439 |4597 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.65%
 48.0s|  2400 |  2263 | 33207 |  13.6 |   166M |  57 |8040 | 378 | 215 | 855 |  1 | 453 |4598 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 49.0s|  2500 |  2363 | 33994 |  13.4 |   169M |  57 |8040 | 374 | 232 | 895 |  2 | 455 |4602 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 56.0s|  2600 |  2463 | 37194 |  14.1 |   170M |  57 |8040 | 351 | 216 | 932 |  1 | 469 |5983 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
Restart triggered after 50 consecutive estimations that the remaining tree will be large
 58.0s|  2700 |  2555 | 38077 |  13.9 |   171M |  57 |8040 | 354 | 218 | 961 |  2 | 477 |5987 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 60.0s|  2800 |  2655 | 39827 |  14.0 |   172M |  57 |8040 | 350 | 222 | 989 |  1 | 478 |6000 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 62.0s|  2900 |  2745 | 40884 |  13.9 |   173M |  57 |8040 | 362 | 216 |1031 |  1 | 504 |6195 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 64.0s|  3000 |  2843 | 42270 |  13.9 |   174M |  57 |8040 | 359 | 215 |1048 |  1 | 516 |6655 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 70.0s|  3100 |  2941 | 44361 |  14.1 |   201M |  57 |8040 | 360 | 216 |1270 |  1 | 520 |6806 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 76.0s|  3200 |  3033 | 47939 |  14.8 |   201M |  57 |8040 | 330 | 215 |1284 |  1 | 547 |8182 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 78.0s|  3300 |  3131 | 48940 |  14.7 |   201M |  57 |8040 | 334 | 212 |1318 |  1 | 555 |8186 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 79.0s|  3400 |  3223 | 50079 |  14.6 |   202M |  57 |8040 | 346 | 219 |1370 |  1 | 573 |8203 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 81.0s|  3500 |  3323 | 52061 |  14.7 |   203M |  57 |8040 | 338 | 216 |1397 |  1 | 578 |8513 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 85.0s|  3600 |  3419 | 54853 |  15.1 |   204M |  57 |8040 | 356 | 214 |1436 |  1 | 673 |9352 | 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 97.0s|  3700 |  3515 | 60838 |  16.3 |   217M |  57 |8040 | 387 | 216 |1744 |  1 | 773 |  10k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 98.0s|  3800 |  3615 | 61668 |  16.1 |   218M |  57 |8040 | 395 | 217 |1760 |  1 | 785 |  10k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 99.0s|  3900 |  3715 | 62583 |  15.9 |   218M |  57 |8040 | 396 | 219 |1779 |  1 | 800 |  10k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  100s|  4000 |  3815 | 63176 |  15.7 |   218M |  57 |8040 | 406 | 217 |1799 |  1 | 816 |  10k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  102s|  4100 |  3915 | 64809 |  15.7 |   219M |  57 |8040 | 397 | 214 |1819 |  1 | 823 |  11k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  104s|  4200 |  4015 | 66240 |  15.7 |   220M |  57 |8040 | 395 | 216 |1855 |  1 | 833 |  11k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  105s|  4300 |  4111 | 67384 |  15.6 |   220M |  57 |8040 | 408 | 223 |1886 |  1 | 860 |  11k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  106s|  4400 |  4211 | 68242 |  15.4 |   220M |  57 |8040 | 408 | 223 |1910 |  1 | 865 |  11k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  109s|  4500 |  4311 | 70523 |  15.6 |   220M |  57 |8040 | 393 | 225 |1938 |  1 | 882 |  11k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  112s|  4600 |  4405 | 74620 |  16.1 |   221M |  57 |8040 | 388 | 216 |1973 |  2 | 894 |  12k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  114s|  4700 |  4505 | 76322 |  16.1 |   223M |  57 |8040 | 380 | 225 |2002 |  1 | 905 |  12k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  117s|  4800 |  4601 | 79034 |  16.4 |   223M |  57 |8040 | 371 | 216 |2021 |  1 | 915 |  12k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  118s|  4900 |  4701 | 79912 |  16.2 |   224M |  57 |8040 | 373 | 216 |2044 |  1 | 920 |  12k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  119s|  5000 |  4801 | 81333 |  16.2 |   224M |  57 |8040 | 385 | 225 |2072 |  1 | 942 |  12k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  120s|  5100 |  4887 | 82196 |  16.0 |   225M |  57 |8040 | 391 | 224 |2103 |  1 | 953 |  12k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  123s|  5200 |  4987 | 84038 |  16.1 |   225M |  57 |8040 | 362 | 213 |2137 |  1 | 967 |  13k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  124s|  5300 |  5083 | 85361 |  16.0 |   226M |  57 |8040 | 365 | 215 |2168 |  2 | 990 |  13k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  126s|  5400 |  5177 | 87204 |  16.1 |   227M |  57 |8040 | 354 | 216 |2193 |  1 |1010 |  13k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  128s|  5500 |  5275 | 88495 |  16.0 |   227M |  57 |8040 | 354 | 226 |2206 |  1 |1022 |  13k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  129s|  5600 |  5375 | 89474 |  15.9 |   227M |  57 |8040 | 356 | 222 |2236 |  1 |1032 |  13k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  130s|  5700 |  5475 | 90391 |  15.8 |   227M |  57 |8040 | 350 | 225 |2257 |  1 |1036 |  13k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  131s|  5800 |  5573 | 91580 |  15.7 |   228M |  57 |8040 | 356 | 219 |2287 |  1 |1051 |  13k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  133s|  5900 |  5669 | 93374 |  15.7 |   229M |  57 |8040 | 352 | 212 |2332 | 88 |1079 |  14k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  135s|  6000 |  5767 | 94796 |  15.7 |   229M |  57 |8040 | 363 | 215 |2366 |  1 |1109 |  14k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  136s|  6100 |  5865 | 95897 |  15.6 |   231M |  57 |8040 | 360 | 221 |2400 |  1 |1121 |  14k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  139s|  6200 |  5957 | 97505 |  15.6 |   231M |  57 |8040 | 356 | 231 |2441 |  1 |1151 |  14k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  140s|  6300 |  6051 | 98795 |  15.6 |   231M |  57 |8040 | 359 | 220 |2473 |  2 |1166 |  14k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  142s|  6400 |  6147 |100065 |  15.6 |   233M |  57 |8040 | 350 | 225 |2502 |  1 |1172 |  15k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  144s|  6500 |  6245 |101674 |  15.6 |   235M |  57 |8040 | 375 | 222 |2558 |  1 |1206 |  15k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  148s|  6600 |  6341 |103584 |  15.6 |   235M |  57 |8040 | 359 | 215 |2595 |  1 |1223 |  15k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  149s|  6700 |  6441 |104357 |  15.5 |   235M |  57 |8040 | 353 | 217 |2616 |  1 |1224 |  15k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  153s|  6800 |  6535 |107086 |  15.7 |   235M |  57 |8040 | 347 | 213 |2636 |  1 |1290 |  17k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  155s|  6900 |  6629 |109574 |  15.8 |   235M |  57 |8040 | 341 |   0 |2649 |  0 |1305 |  17k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  156s|  7000 |  6725 |110399 |  15.7 |   236M |  57 |8040 | 355 | 217 |2674 |  1 |1320 |  17k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  158s|  7100 |  6813 |111695 |  15.7 |   236M |  70 |8040 | 340 | 215 |2674 |  1 |1334 |  17k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  160s|  7200 |  6905 |113242 |  15.7 |   237M |  70 |8040 | 331 | 214 |2698 |  1 |1373 |  17k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  162s|  7300 |  7001 |115169 |  15.7 |   237M |  70 |8040 | 318 | 213 |2745 |  0 |1390 |  17k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.66%
  164s|  7400 |  7075 |116260 |  15.6 |   237M |  70 |8040 | 321 | 219 |2768 |  2 |1413 |  17k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  165s|  7500 |  7175 |116975 |  15.5 |   238M |  70 |8040 | 313 | 220 |2796 |  1 |1418 |  18k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  167s|  7600 |  7273 |118037 |  15.5 |   239M |  70 |8040 | 318 | 217 |2827 |  1 |1437 |  18k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  168s|  7700 |  7369 |118879 |  15.4 |   240M |  70 |8040 | 316 | 216 |2857 |  1 |1443 |  18k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  169s|  7800 |  7465 |119626 |  15.3 |   240M |  70 |8040 | 320 | 221 |2868 |  1 |1464 |  18k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  170s|  7900 |  7553 |120844 |  15.2 |   240M |  70 |8040 | 314 | 214 |2882 |  1 |1473 |  18k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  171s|  8000 |  7645 |121572 |  15.1 |   240M |  70 |8040 | 324 | 217 |2902 |  1 |1491 |  18k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  173s|  8100 |  7741 |122830 |  15.1 |   240M |  70 |8040 | 333 | 221 |2914 |  1 |1526 |  18k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  174s|  8200 |  7837 |123622 |  15.0 |   241M |  70 |8040 | 328 | 223 |2936 |  1 |1532 |  18k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  175s|  8300 |  7931 |124424 |  14.9 |   242M |  70 |8040 | 320 | 218 |2949 |  1 |1550 |  18k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  177s|  8400 |  8017 |125345 |  14.9 |   242M |  70 |8040 | 308 | 214 |2992 |  1 |1553 |  18k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  178s|  8500 |  8117 |126590 |  14.8 |   243M |  70 |8040 | 292 | 222 |3021 |  1 |1556 |  18k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  180s|  8600 |  8215 |128070 |  14.8 |   243M |  70 |8040 | 298 | 219 |3042 |  1 |1581 |  19k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  182s|  8700 |  8309 |128888 |  14.8 |   243M |  70 |8040 | 294 | 220 |3074 |  1 |1585 |  19k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  183s|  8800 |  8405 |129839 |  14.7 |   244M |  70 |8040 | 301 | 215 |3102 |  1 |1599 |  19k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  186s|  8900 |  8487 |132152 |  14.8 |   244M |  70 |8040 | 288 | 214 |3112 |  1 |1614 |  19k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  188s|  9000 |  8583 |133270 |  14.8 |   246M |  70 |8040 | 290 | 222 |3184 |  1 |1630 |  19k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  190s|  9100 |  8675 |134512 |  14.7 |   247M |  70 |8040 | 295 | 216 |3260 |  1 |1666 |  19k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  192s|  9200 |  8767 |135468 |  14.7 |   247M |  70 |8040 | 288 | 221 |3289 |  1 |1678 |  19k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  193s|  9300 |  8865 |136550 |  14.6 |   247M |  70 |8040 | 288 | 220 |3311 |  1 |1684 |  19k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  195s|  9400 |  8963 |137868 |  14.6 |   247M |  70 |8040 | 299 | 228 |3339 |  1 |1713 |  19k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  197s|  9500 |  9059 |139119 |  14.6 |   249M |  70 |8040 | 298 | 222 |3356 |  1 |1742 |  20k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  199s|  9600 |  9151 |140679 |  14.6 |   249M |  70 |8040 | 275 | 219 |3385 |  1 |1752 |  20k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  200s|  9700 |  9239 |141749 |  14.6 |   249M |  70 |8040 | 272 | 217 |3405 |  1 |1757 |  20k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  202s|  9800 |  9333 |142837 |  14.5 |   249M |  70 |8040 | 285 | 215 |3441 |  1 |1784 |  20k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  204s|  9900 |  9427 |144421 |  14.5 |   250M |  70 |8040 | 295 | 214 |3460 |  1 |1834 |  20k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  206s| 10000 |  9515 |145806 |  14.5 |   250M |  70 |8040 | 285 | 219 |3482 |  1 |1850 |  21k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  208s| 10100 |  9611 |146812 |  14.5 |   251M |  70 |8040 | 281 | 217 |3509 |  1 |1856 |  21k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
  210s| 10200 |  9705 |148340 |  14.5 |   251M |  70 |8040 | 262 | 213 |3522 |  1 |1875 |  21k| 1.366407e+05 | 1.366128e+05 |   0.02%|  47.67%
